n;10;20;30;40;50;60;70;80;90;100
Bubble Affecations;90;380;870;1560;2450;3540;4830;6320;8010;9900
Bubble Comparaisons;99;399;899;1599;2499;3599;4899;6399;8099;9999
Insertion Affecations;18;38;58;78;98;118;138;158;178;198
Insertion Comparaisons;27;57;87;117;147;177;207;237;267;297
Selection Affectations;9;19;29;39;49;59;69;79;89;99
Selection Comparaisons;54;209;464;819;1274;1829;2484;3239;4094;5049
Sort Affecations;9;40;60;84;106;124;90;176;194;216
Sort Comparaisons;18;63;88;199;246;289;316;509;568;629
StableSort Affectations;19;77;115;155;193;351;411;469;527;585
StableSort Comparaisons;21;56;105;130;165;242;267;302;351;386
